,,position,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
La_liga,2018,1,Barcelona,38,26,9,3,90,36,87,83.279534,-6.720466000000002,76.584704,44.93095,8.930950000000003,43.4444,33.14030400000001,9.01526390151714,16.404884844687324,417,171,73.96039999999999,-13.039600000000007
La_liga,2018,2,Atletico Madrid,38,22,10,6,55,29,76,51.872324,-3.127676000000001,48.730936,41.434059000000005,12.434059000000005,37.71779400000001,11.013142,11.066204538602875,11.104778106436122,252,190,59.4276,-16.572400000000002
La_liga,2018,3,Real Madrid,38,21,5,12,63,46,68,68.65477299999999,5.654772999999992,61.965525,48.67575300000001,2.6757530000000074,42.72966400000001,19.235861,8.896578362734848,14.782500589542508,341,168,64.7728,-3.2271999999999963
La_liga,2018,4,Valencia,38,15,16,7,51,35,61,61.88494899999999,10.884948999999992,56.56901899999999,42.854366999999996,7.854366999999996,36.908409999999996,19.660608999999997,12.964657587277863,9.474006705870321,278,215,65.1616,4.161600000000007
La_liga,2018,5,Sevilla,38,17,8,13,62,47,59,69.162306,7.162306000000001,64.54245300000001,46.710732,-0.28926799999999986,41.508815,23.033638,10.65203081464584,10.020620488210044,321,211,65.07809999999999,6.078099999999992
La_liga,2018,6,Getafe,38,15,14,9,48,35,59,47.03417800000001,-0.9658219999999886,42.57815100000001,44.22604100000001,9.22604100000001,39.02311,3.5550409999999992,8.766903297859301,5.700771442750934,186,196,53.1872,-5.812800000000003
La_liga,2018,7,Espanyol,38,14,11,13,48,50,53,50.157346,2.157345999999997,47.184228000000004,54.61608600000001,4.61608600000001,48.548747000000006,-1.364519,9.856488791776902,9.819171281248202,241,241,50.08829999999999,-2.9117000000000104
La_liga,2018,8,Athletic Club,38,13,14,11,41,45,53,44.441323999999994,3.4413239999999945,38.91707899999999,47.158818000000004,2.1588180000000037,43.442428,-4.525348999999998,8.304491872691997,11.302557686903405,221,185,50.01219999999999,-2.987800000000007
La_liga,2018,9,Real Sociedad,38,13,11,14,45,46,50,47.987101,2.9871010000000027,40.554466,48.09443999999999,2.0944399999999916,45.683969999999995,-5.129504000000001,9.943556360727678,9.48877103532691,194,208,51.12550000000001,1.1255000000000095
La_liga,2018,10,Alaves,38,13,11,14,39,50,50,40.873013,1.8730130000000003,38.643174,54.532087999999995,4.532087999999995,50.07242099999999,-11.429247,11.228230078782055,7.0967098226913485,129,270,44.0162,-5.983800000000002
La_liga,2018,11,Real Betis,38,14,8,16,44,52,50,51.67742500000001,7.677425000000007,46.35324500000001,53.544731999999996,1.5447319999999962,49.828349,-3.475103999999999,9.316620850951312,12.381684934755219,241,220,52.3904,2.3903999999999996
